feedback,sentiment
The bank's customer service is excellent!,Positive
I had a terrible experience with the loan application.,Negative
The mobile banking app is easy to use.,Positive
The bank charges too many hidden fees.,Negative
Great experience! The staff was very helpful.,Positive
I am not happy with the high-interest rates.,Negative
The account opening process was smooth and fast.,Positive
Their customer support is unresponsive and slow.,Negative
"Overall, an average experience, nothing special.",Neutral
Fast and secure transactions every time.,Positive
Long waiting times at the branch.,Negative
Loan processing was quick and hassle-free.,Positive
The ATM service is very poor.,Negative
I love the new investment options!,Positive
Too many hidden charges make it frustrating.,Negative
